date,hour,n_hl,n_bn,kappa,real,endo_hl,endo_bn,p_endo,p_exo_rand,p_exo_even,p_hltimes
2026-07-18,0,2066,6114,63.31948129714135,600.0,0.033451660525100256,0.23721072471976096,575.0,575.0,575.0,475.0
2026-07-18,16,1727,6449,11.539336170624088,650.0,0.05439585414379752,0.2722629830973681,575.0,575.0,575.0,625.0
2026-07-19,0,2198,6415,67.46380637113232,675.0,0.01259351318200371,0.25612376527831493,600.0,575.0,575.0,425.0
2026-07-19,16,2007,8444,32.736486017835766,675.0,0.00483856362032672,0.21533199989149282,575.0,575.0,475.0,850.0
2026-07-20,0,6256,12701,4.899592692994618,600.0,0.13280740568150728,0.3672466336854686,575.0,575.0,575.0,650.0
2026-07-20,8,2041,7243,13.570784709752225,750.0,0.07901830569191373,0.35733350433048156,575.0,575.0,575.0,575.0
2026-07-20,16,3549,11009,6.890611730425147,600.0,0.09464721179822627,0.26769288656979245,575.0,575.0,575.0,550.0
2026-07-21,0,3331,7070,10.956883813026453,750.0,0.031191057426820712,0.3951073922810409,575.0,575.0,575.0,575.0
2026-07-21,8,2576,7387,26.432216176966048,600.0,-0.0044608019184895235,0.2991707080697957,575.0,575.0,575.0,1150.0
2026-07-21,16,2599,6585,26.77061329096211,800.0,0.03049166378599347,0.33669989160691105,575.0,575.0,575.0,550.0
2026-07-22,0,2831,7254,20.028101952277062,550.0,0.09855464395375241,0.32983359225068837,575.0,575.0,575.0,-850.0
2026-07-22,8,1996,7770,20.99539632540305,550.0,0.09032512599004962,0.3145704890094227,575.0,575.0,575.0,750.0
2026-07-22,16,4984,10266,8.687361482455731,625.0,0.04130086794623912,0.2743111987743234,575.0,575.0,575.0,575.0
2026-07-23,0,2593,11081,18.796876344230295,600.0,0.10810366733967783,0.25877913010155357,575.0,575.0,575.0,1050.0
2026-07-23,16,2786,9696,20.24745224284796,575.0,0.07016420202170953,0.27675221239267234,575.0,575.0,575.0,575.0
2026-07-24,0,2210,9123,13.810576051415266,800.0,0.06116263547796459,0.2829814850634688,575.0,575.0,575.0,1150.0
2026-07-24,8,1691,7734,25.36748514992288,475.0,0.060321968751582876,0.22884584157561483,575.0,-450.0,575.0,-1850.0
2026-07-24,16,3222,10569,21.555710765077915,775.0,0.06158876692467123,0.208713011266162,575.0,575.0,575.0,800.0
2026-07-25,8,2576,6983,32.012601900574815,1175.0,0.035033361145812895,0.3204450967447893,575.0,575.0,575.0,475.0
2026-07-25,16,2141,6433,18.657829468591014,575.0,0.04701197717408482,0.3034850002385141,575.0,575.0,575.0,575.0
