date,hour,n_hl,n_bn,kappa,real,endo_hl,endo_bn,p_endo,p_exo_rand,p_exo_even,p_hltimes
2026-07-18,0,4586,15402,5.587190861477131,600.0,0.05400402283983418,0.33142682924224603,575.0,575.0,575.0,575.0
2026-07-18,8,5418,10123,10.661875046083606,800.0,0.04298209652451889,0.3230064322854157,575.0,575.0,575.0,575.0
2026-07-18,16,6651,21037,0.7250574927320976,450.0,0.04825162588072627,0.33553091216545866,575.0,575.0,575.0,575.0
2026-07-19,0,8611,16928,2.955852230837194,475.0,0.03358218066403146,0.23177600102102486,575.0,575.0,575.0,575.0
2026-07-19,8,4007,15320,5.47793961067496,550.0,0.04645458231010346,0.30960392184705615,575.0,575.0,575.0,575.0
2026-07-19,16,6495,18496,3.693831650471063,600.0,0.104127441864023,0.45447854814447775,575.0,575.0,575.0,575.0
2026-07-20,0,18311,79553,1.9629839020888402,600.0,0.20374009865852905,0.7446749288741239,575.0,575.0,575.0,575.0
2026-07-20,8,13450,47734,2.8410130898972525,300.0,0.1915092196307666,0.5268929415572479,575.0,575.0,575.0,575.0
2026-07-20,16,19209,73522,1.060925031024158,625.0,0.17153298969699518,0.6310665752849587,575.0,575.0,575.0,575.0
2026-07-21,0,11251,47054,2.263070994263816,675.0,0.13366901679498838,0.6139897595974466,575.0,575.0,575.0,575.0
2026-07-21,8,19247,59371,2.0578169940061275,575.0,0.15906339913364176,0.6045443277807885,575.0,575.0,575.0,575.0
2026-07-21,16,14168,39961,1.867645244714313,525.0,0.12521124572703615,0.5001611724439724,575.0,575.0,575.0,575.0
2026-07-22,0,13135,41146,2.229315291133682,525.0,0.12601915795610683,0.5712987740821429,575.0,575.0,575.0,575.0
2026-07-22,8,13911,35770,2.0104875202856354,525.0,0.15846425613284895,0.4364907746471765,575.0,575.0,575.0,550.0
2026-07-22,16,19321,62704,2.094320836558196,575.0,0.2062726021522138,0.6475968739342701,575.0,575.0,575.0,575.0
2026-07-23,0,13013,37264,2.8726678167411763,525.0,0.10569142791192118,0.4824410119791722,575.0,575.0,575.0,575.0
2026-07-23,8,13734,27293,2.3378028603600502,600.0,0.12245783038157101,0.4395642121062251,575.0,575.0,575.0,575.0
2026-07-23,16,13968,37983,2.781847457292685,550.0,0.15068742252380046,0.43153813589989176,575.0,575.0,575.0,575.0
2026-07-24,0,12751,38363,1.5672382743873015,525.0,0.19398423804301926,0.5196101363319761,575.0,575.0,575.0,575.0
2026-07-24,8,9779,22709,7.277101089862203,1000.0,0.031167653894031977,0.36759969207387133,575.0,575.0,575.0,575.0
2026-07-24,16,12250,41726,2.737998986984795,600.0,0.15168711567053889,0.5676527680189327,575.0,575.0,575.0,575.0
2026-07-25,0,5293,14591,2.216332061126927,875.0,0.0744117499585356,0.1925765202927196,575.0,575.0,575.0,575.0
2026-07-25,8,9442,20941,2.6949766959856696,525.0,0.14532265579723422,0.4176124364274581,575.0,575.0,575.0,600.0
2026-07-25,16,4159,13507,15.75088387351328,475.0,0.033458966186855545,0.3289639605899991,575.0,575.0,575.0,575.0
