date,hour,n_hl,n_bn,kappa,real,endo_hl,endo_bn,p_endo,p_exo_rand,p_exo_even,p_hltimes
2026-07-18,0,2252,14098,12.054816553324658,900.0,0.04035041752472967,0.4009337399425832,575.0,575.0,575.0,575.0
2026-07-18,8,6151,12236,6.660581199846486,550.0,0.04649141948730001,0.3693660100619067,575.0,575.0,575.0,575.0
2026-07-18,16,1816,13646,1.3492227353336907,650.0,0.06666719274640417,0.467583410306242,575.0,575.0,575.0,575.0
2026-07-19,0,2279,12266,12.436649240893312,550.0,0.040377195018761705,0.36350103908770376,575.0,575.0,575.0,550.0
2026-07-19,8,2323,13357,7.698391262246697,700.0,0.07129964425607677,0.37919425796607215,575.0,575.0,575.0,575.0
2026-07-19,16,3812,17872,6.157249126997161,475.0,0.09909022800238426,0.5352894788998734,575.0,575.0,575.0,575.0
2026-07-20,0,10512,89841,2.0596028937807924,575.0,0.23096952768672852,0.8419995457006629,575.0,575.0,575.0,575.0
2026-07-20,8,6388,39406,2.860940363660207,575.0,0.11415706147880712,0.696339998729041,575.0,575.0,575.0,575.0
2026-07-20,16,8377,65173,2.0672639066123337,425.0,0.18595694864865442,0.7989700674342743,575.0,575.0,575.0,575.0
2026-07-21,0,6190,45986,3.9799290518323787,575.0,0.12093896992355302,0.753338192984935,575.0,575.0,575.0,600.0
2026-07-21,8,8981,60364,0.9974400123602482,575.0,0.15858424055814058,0.6819533606915565,575.0,575.0,575.0,575.0
2026-07-21,16,8139,35603,5.6955840379843865,650.0,0.10694892935563417,0.6734171865190431,575.0,575.0,575.0,575.0
2026-07-22,0,7212,48698,2.609288454316027,625.0,0.1286312523646558,0.7505651930330393,575.0,575.0,575.0,575.0
2026-07-22,8,3818,27333,5.6312899809877415,575.0,0.11137633360905906,0.6005064777097768,575.0,575.0,575.0,575.0
2026-07-22,16,10457,68707,3.081610210402456,475.0,0.1876327833320302,0.7857698907577783,575.0,575.0,575.0,575.0
2026-07-23,0,4946,29441,4.514496327621937,550.0,0.17065582373767363,0.6838454515063743,575.0,575.0,575.0,575.0
2026-07-23,8,4548,24181,8.161660647493182,550.0,0.055076517569557525,0.5018985496561191,575.0,575.0,575.0,575.0
2026-07-23,16,6392,38982,2.4766321700355536,525.0,0.09873768169527959,0.661093024094392,575.0,575.0,575.0,575.0
2026-07-24,0,8466,52840,2.0088866116314406,600.0,0.1774177155644052,0.7517855804431371,575.0,575.0,575.0,525.0
2026-07-24,8,4547,22712,6.483971503479661,525.0,0.11283555701609847,0.5113490185308025,575.0,575.0,575.0,575.0
2026-07-24,16,6587,29906,8.270312411673816,525.0,0.12539286098767025,0.6362513622378956,575.0,575.0,575.0,575.0
2026-07-25,0,3531,14020,3.4119477913218517,600.0,0.08986845031744546,0.44806358966246645,575.0,575.0,575.0,575.0
2026-07-25,8,4019,15022,7.875131809918226,550.0,0.12415389016152018,0.46975181437698893,575.0,575.0,575.0,550.0
2026-07-25,16,3071,15249,5.69869877587421,575.0,0.044225210397963524,0.40557671426623837,575.0,575.0,575.0,575.0
