date,hour,range_bps,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,n_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,n_okx_binance
2026-07-22,14,157.0,575.0,0.8831,0.326,3732,25.0,0.5862,0.1349,9425
2026-07-22,15,135.8,575.0,0.9314,0.3348,4160,25.0,0.6068,0.1292,8599
2026-07-22,16,158.4,575.0,0.6274,0.5587,6700,25.0,0.4835,0.1079,13847
2026-07-22,17,320.9,625.0,0.4113,0.6084,7023,25.0,0.358,0.0137,16799
2026-07-22,18,179.3,525.0,0.8497,0.533,5648,25.0,0.5768,0.0399,12008
2026-07-22,19,140.7,525.0,0.8422,0.4777,4448,25.0,0.5512,0.1146,10167
2026-07-22,20,159.7,575.0,0.9626,0.554,3794,25.0,0.6264,0.0804,8396
2026-07-22,21,83.5,575.0,0.9788,0.3764,2714,25.0,0.5892,0.0675,3915
2026-07-22,22,97.2,575.0,0.9349,0.4233,3276,25.0,0.5659,0.2078,4274
2026-07-22,23,98.5,575.0,1.0546,0.3783,2743,25.0,0.6291,0.1465,4562
2026-07-23,0,77.5,575.0,1.0268,0.26,2740,25.0,0.6494,0.1251,5585
2026-07-23,1,89.1,475.0,0.9286,0.3372,2837,25.0,0.5725,0.1319,6418
2026-07-23,2,94.8,525.0,0.9294,0.4236,3186,25.0,0.504,0.0579,5254
2026-07-23,3,70.4,500.0,1.0943,0.185,1865,25.0,0.6647,0.054,4568
2026-07-23,4,90.6,475.0,0.9768,0.2152,1899,25.0,0.5389,0.156,5709
2026-07-23,5,90.0,575.0,1.0051,0.1849,2057,25.0,0.5842,0.1432,4014
2026-07-23,7,134.9,625.0,0.8665,0.4125,2293,25.0,0.5884,0.1665,7207
2026-07-23,8,74.6,650.0,0.9129,0.3168,1713,25.0,0.5495,0.1803,4858
2026-07-23,9,49.3,525.0,0.9323,0.2584,1581,25.0,0.5713,0.2609,4100
2026-07-23,10,42.6,900.0,0.8808,0.302,1507,25.0,0.5794,0.1649,3976
2026-07-23,11,96.1,575.0,0.9896,0.3554,2180,25.0,0.5894,0.204,5049
2026-07-23,12,131.0,550.0,0.8137,0.5383,3187,25.0,0.487,0.0854,9363
2026-07-23,13,154.2,550.0,0.7524,0.5352,4622,25.0,0.5195,0.0957,15480
2026-07-23,14,184.6,500.0,0.7216,0.4262,4350,25.0,0.5052,0.142,11435
2026-07-23,15,92.4,600.0,0.923,0.4013,3226,25.0,0.6579,0.1667,9112
2026-07-23,16,177.0,550.0,0.7132,0.536,5038,25.0,0.5061,0.135,10848
2026-07-23,17,114.5,550.0,0.8641,0.3872,3412,25.0,0.6408,0.1603,8514
2026-07-23,18,185.7,475.0,0.5795,0.4719,3891,25.0,0.4043,0.2085,9599
2026-07-23,19,182.2,550.0,0.7995,0.3696,3198,25.0,0.5989,0.1559,8745
2026-07-23,20,85.8,525.0,1.0065,0.3383,2285,25.0,0.6448,0.0922,6162
2026-07-23,21,178.0,575.0,0.8017,0.3666,3304,25.0,0.5194,0.0301,7117
2026-07-23,22,93.5,525.0,0.7298,0.3712,3673,25.0,0.46,0.0281,8644
2026-07-23,23,99.8,650.0,0.8925,0.3113,2624,25.0,0.657,-0.0254,5787
2026-07-24,0,70.7,475.0,0.9468,0.3739,3449,25.0,0.5655,-0.0156,7337
2026-07-24,1,133.8,550.0,0.829,0.3337,2495,25.0,0.549,-0.0061,6486
2026-07-24,2,96.1,575.0,0.9884,0.3289,2789,25.0,0.6416,-0.0356,7086
2026-07-24,3,135.3,550.0,0.9197,0.334,2710,25.0,0.5977,0.1073,6325
2026-07-24,4,58.6,800.0,0.8351,0.2979,2031,25.0,0.568,0.1696,4262
2026-07-24,5,35.0,750.0,0.9979,0.3008,1824,25.0,0.6097,0.2157,3607
2026-07-24,6,67.0,450.0,0.6257,0.3279,2682,25.0,0.4149,0.0361,6721
2026-07-24,9,68.1,250.0,0.7746,0.2481,1987,25.0,0.3886,-0.0175,6169
2026-07-24,10,99.7,550.0,0.963,0.2302,1796,25.0,0.58,0.1243,4637
2026-07-24,11,64.7,550.0,1.204,0.2664,2113,25.0,0.7223,0.03,5119
2026-07-24,12,63.6,625.0,1.0345,0.2771,2141,25.0,0.6401,-0.0302,4954
2026-07-24,13,105.1,500.0,0.8135,0.4272,4742,25.0,0.6838,-0.0131,10719
2026-07-24,14,188.0,550.0,0.9381,0.4052,3384,25.0,0.589,0.0124,11538
2026-07-24,15,111.1,525.0,0.6185,0.3274,3259,25.0,0.308,0.0602,10265
2026-07-24,16,88.2,600.0,0.7656,0.2826,2065,25.0,0.6447,0.1668,4966
2026-07-24,17,77.7,550.0,1.0407,0.2651,1958,25.0,0.6812,0.0505,4323
2026-07-24,18,129.1,550.0,0.7819,0.3811,2693,25.0,0.5141,0.1492,5327
2026-07-24,19,105.8,550.0,1.0528,0.3169,2211,25.0,0.6892,0.0592,4302
2026-07-24,20,64.7,550.0,0.9444,0.2307,2054,25.0,0.5992,0.0083,4131
2026-07-24,21,243.9,550.0,0.5908,0.4416,5073,25.0,0.4051,0.1536,10252
2026-07-24,22,151.2,450.0,0.6274,0.5391,3730,25.0,0.5169,0.1233,6696
2026-07-24,23,65.4,525.0,0.9178,0.3386,2504,25.0,0.6407,0.1648,4592
2026-07-25,0,52.6,600.0,1.0132,0.3567,2490,25.0,0.6091,0.1203,4918
2026-07-25,1,111.8,525.0,0.7628,0.3557,2881,25.0,0.4755,0.0226,5327
2026-07-25,2,64.8,525.0,0.9207,0.415,2183,25.0,0.6464,0.133,3463
2026-07-25,3,48.8,650.0,0.92,0.2831,1961,25.0,0.6505,0.1185,3442
2026-07-25,4,27.0,500.0,1.0088,0.372,1773,25.0,0.6794,0.1792,2691
2026-07-25,5,56.5,575.0,1.0428,0.2802,1504,25.0,0.688,0.115,3031
2026-07-25,6,37.2,575.0,1.0319,0.2748,1433,25.0,0.5875,0.0082,3352
2026-07-25,9,176.1,600.0,0.6986,0.4614,2136,25.0,0.4454,0.1073,6702
2026-07-25,10,55.8,550.0,0.9337,0.1609,1297,25.0,0.4603,0.1148,3865
2026-07-25,11,60.1,575.0,0.9338,0.2737,1562,25.0,0.5588,0.0438,3185
2026-07-25,12,54.8,575.0,1.1628,0.2907,1161,25.0,0.589,0.1529,2842
2026-07-25,13,81.2,525.0,0.9364,0.2814,1428,25.0,0.4839,-0.0241,3738
2026-07-25,14,59.8,550.0,0.8069,0.2698,1658,25.0,0.5514,0.1317,3088
2026-07-25,15,89.8,525.0,0.9391,0.4381,2146,25.0,0.5424,0.1367,4223
2026-07-25,16,55.8,625.0,0.892,0.4006,1881,25.0,0.6395,0.1281,3460
2026-07-25,17,128.7,550.0,0.7815,0.4724,2562,25.0,0.5783,-0.0201,6755
2026-07-25,18,43.4,575.0,0.7914,0.3561,1549,25.0,0.4701,0.1332,3926
2026-07-25,19,89.7,425.0,0.7546,0.4498,1432,25.0,0.3982,0.0746,3215
2026-07-25,20,52.9,500.0,0.604,0.4361,2277,25.0,0.32,0.1016,4705
2026-07-25,21,52.7,550.0,0.7669,0.3052,1701,25.0,0.5523,0.1329,2903
2026-07-25,22,31.2,550.0,1.0639,0.4953,1648,25.0,0.7782,0.1771,2309
2026-07-25,23,38.5,1775.0,0.7797,0.31,1313,25.0,0.5988,0.1486,1932
2026-07-26,0,56.6,825.0,0.6615,0.223,1553,25.0,0.4139,0.0969,3828
