date,hour,n_hl,n_bn,kappa,real,endo_hl,endo_bn,p_endo,p_exo_rand,p_exo_even,p_hltimes
2026-07-18,0,4808,10422,3.2428831889534675,550.0,0.18777831230745048,0.7529318184795202,575.0,575.0,575.0,575.0
2026-07-18,8,5501,14104,1.9090024414883042,550.0,0.1959142840673523,0.8060009975138682,575.0,575.0,575.0,575.0
2026-07-18,16,4858,10965,2.3892617847675783,525.0,0.19985878312653668,0.7704416785647268,575.0,575.0,575.0,575.0
2026-07-19,0,3993,7623,3.799566902440514,650.0,0.16373483754483192,0.6561594992007534,575.0,575.0,575.0,575.0
2026-07-19,8,8510,16042,1.9621996000156203,525.0,0.23169259161804154,0.7391376780556781,575.0,575.0,575.0,575.0
2026-07-19,16,4014,8502,4.8561789078638125,650.0,0.1637313237180749,0.7782223597652345,575.0,575.0,575.0,575.0
2026-07-20,0,14165,23812,21.967786818038025,475.0,0.2529548072636986,0.8431546402342589,575.0,575.0,575.0,575.0
2026-07-20,8,4431,11274,4.373288573795168,550.0,0.13776681735560758,0.7708713629740682,550.0,550.0,550.0,575.0
2026-07-20,16,13411,23695,1.6637214050716194,525.0,0.26990302809180733,0.7879750730944405,575.0,575.0,575.0,575.0
2026-07-21,0,7073,12597,3.21182654303997,550.0,0.19478052216455502,0.7986245590054457,575.0,575.0,575.0,575.0
2026-07-21,8,5580,11906,5.2443756485828645,550.0,0.14618974546241983,0.7163653252876756,575.0,575.0,575.0,575.0
2026-07-21,16,8771,13639,4.858454276799996,600.0,0.1602589949383544,0.7508584407698988,575.0,575.0,575.0,575.0
2026-07-22,0,7115,13228,3.916645839468147,575.0,0.1729606225309855,0.8067698940809748,575.0,575.0,575.0,575.0
2026-07-22,8,8119,15838,6.784273179271543,525.0,0.14553258137936004,0.7818964197726626,575.0,575.0,575.0,575.0
2026-07-22,16,25498,41540,2.36710065109287,575.0,0.2582458111297045,0.7797092192070363,575.0,575.0,575.0,575.0
2026-07-23,0,6009,13097,3.8451414639799117,575.0,0.16642510198176452,0.8310376461573895,575.0,575.0,575.0,575.0
2026-07-23,8,4927,13427,5.2504722804230415,650.0,0.1234919942149132,0.6935696988484922,575.0,575.0,575.0,575.0
2026-07-23,16,16251,24741,3.316787532824036,550.0,0.22195913379812027,0.7887045626519,575.0,575.0,575.0,575.0
2026-07-24,0,9638,17990,2.390988571304467,475.0,0.183577059112241,0.791630487231299,575.0,575.0,575.0,575.0
2026-07-24,8,4060,9874,3.7430518455332926,525.0,0.1462598475383547,0.7264033430540244,575.0,575.0,575.0,575.0
2026-07-24,16,5140,14488,5.57538028394459,600.0,0.14295570101882396,0.7637782382316206,575.0,575.0,575.0,575.0
2026-07-25,0,4596,10549,3.81556811703148,600.0,0.12672163050792368,0.7126562150258056,575.0,575.0,575.0,575.0
2026-07-25,8,4130,11295,4.261657942657314,525.0,0.16212151303888508,0.6441995786116737,575.0,575.0,575.0,575.0
2026-07-25,16,4109,9842,4.770363252675356,625.0,0.16681942323752033,0.6544501055976841,575.0,575.0,575.0,575.0
